day,symbol,skipped,reason,open_dir,n_legs,long_pnl,short_pnl,total_pnl
2026-06-25,INTC,False,,up,1,-2.9,0,-2.9
2026-06-26,INTC,False,,up,1,1.15,0,1.15
2026-06-29,INTC,False,,up,1,-0.47,0,-0.47
2026-06-30,INTC,True,no_bars,,,,,0
2026-07-01,INTC,True,no_bars,,,,,0
2026-07-02,INTC,True,no_bars,,,,,0
2026-07-03,INTC,True,no_bars,,,,,0
2026-06-25,SOXL,False,,up,1,-6.5,0,-6.5
2026-06-26,SOXL,False,,down,1,0,-13.69,-13.69
2026-06-29,SOXL,False,,up,1,-3.92,0,-3.92
2026-06-30,SOXL,False,,up,1,18.48,0,18.48
2026-07-01,SOXL,False,,down,1,0,17.29,17.29
2026-07-02,SOXL,False,,up,1,-8.54,0,-8.54
2026-07-03,SOXL,False,,up,1,-2.57,0,-2.57
2026-06-25,HOOD,False,,down,1,0,2.92,2.92
2026-06-26,HOOD,False,,up,1,4.21,0,4.21
2026-06-29,HOOD,False,,up,1,0.22,0,0.22
2026-06-30,HOOD,False,,up,1,-1.72,0,-1.72
2026-07-01,HOOD,False,,up,1,7.29,0,7.29
2026-07-02,HOOD,False,,up,1,-5.52,0,-5.52
2026-07-03,HOOD,False,,up,1,0.01,0,0.01
2026-06-25,CRCL,False,,down,1,0,0.86,0.86
2026-06-26,CRCL,True,no_open_dir,,,,,0
2026-06-29,CRCL,False,,down,1,0,-1.7,-1.7
2026-06-30,CRCL,False,,up,1,-1.03,0,-1.03
2026-07-01,CRCL,False,,up,2,-0.46,1.22,0.76
2026-07-02,CRCL,False,,up,1,-2.15,0,-2.15
2026-07-03,CRCL,False,,up,1,-0.44,0,-0.44
2026-06-25,COIN,False,,down,1,0,7.39,7.39
2026-06-26,COIN,False,,up,1,7.5,0,7.5
2026-06-29,COIN,False,,up,1,-1.27,0,-1.27
2026-06-30,COIN,False,,up,1,-0.42,0,-0.42
2026-07-01,COIN,False,,up,2,12.13,1.4,13.53
2026-07-02,COIN,False,,up,1,-6.49,0,-6.49
2026-07-03,COIN,False,,up,1,0.19,0,0.19
2026-06-25,MSTR,False,,down,1,0,7.66,7.66
2026-06-26,MSTR,False,,up,1,-0.98,0,-0.98
2026-06-29,MSTR,False,,down,1,0,-2.04,-2.04
2026-06-30,MSTR,False,,down,1,0,-1.81,-1.81
2026-07-01,MSTR,False,,up,1,3.97,0,3.97
2026-07-02,MSTR,False,,up,1,-3.21,0,-3.21
2026-07-03,MSTR,False,,down,1,0,-1.23,-1.23
