day,symbol,skipped,reason,entry,entry_time,open_dir,n_legs,long_pnl,short_pnl,total_pnl,total_pnl_usdt,equity_start,equity_end,day_return_pct
2026-06-25,INTC,False,,open,09:30,up,1,-2.9,0,-2.9,-20.66,1000.0,979.34,-2.07
2026-06-26,INTC,False,,open,09:30,up,1,1.15,0,1.15,8.89,979.34,988.23,0.91
2026-06-29,INTC,False,,open,09:30,up,1,-0.47,0,-0.47,-3.69,988.23,984.54,-0.37
2026-06-30,INTC,False,,open,09:30,up,1,5.93,0,5.93,43.67,984.54,1028.21,4.44
2026-07-01,INTC,False,,open,09:30,down,1,0,6.37,6.37,49.05,1028.21,1077.26,4.77
2026-07-02,INTC,False,,open,09:30,up,1,-1.45,0,-1.45,-12.39,1077.26,1064.87,-1.15
2026-07-03,INTC,False,,open,09:30,up,1,-0.41,0,-0.41,-3.55,1064.87,1061.32,-0.33
2026-06-25,SOXL,False,,open,09:30,up,1,-6.5,0,-6.5,-24.34,1000.0,975.66,-2.43
2026-06-26,SOXL,False,,open,09:30,down,1,0,-13.69,-13.69,-61.41,975.66,914.25,-6.29
2026-06-29,SOXL,False,,open,09:30,up,1,-3.92,0,-3.92,-16.26,914.25,897.99,-1.78
2026-06-30,SOXL,False,,open,09:30,up,1,18.48,0,18.48,66.76,897.99,964.75,7.43
2026-07-01,SOXL,False,,open,09:30,down,1,0,17.29,17.29,71.11,964.75,1035.86,7.37
2026-07-02,SOXL,False,,open,09:30,up,1,-8.54,0,-8.54,-40.66,1035.86,995.2,-3.92
2026-07-03,SOXL,False,,open,09:30,up,1,-2.57,0,-2.57,-13.27,995.2,981.93,-1.33
2026-06-25,HOOD,False,,open,09:30,down,1,0,2.92,2.92,30.26,1000.0,1030.26,3.03
2026-06-26,HOOD,False,,open,09:30,up,1,4.21,0,4.21,45.9,1030.26,1076.16,4.46
2026-06-29,HOOD,False,,open,09:30,up,1,0.22,0,0.22,2.37,1076.16,1078.53,0.22
2026-06-30,HOOD,False,,open,09:30,up,1,-1.72,0,-1.72,-18.24,1078.53,1060.29,-1.69
2026-07-01,HOOD,False,,open,09:30,up,1,7.29,0,7.29,76.22,1060.29,1136.51,7.19
2026-07-02,HOOD,False,,open,09:30,up,1,-5.52,0,-5.52,-53.55,1136.51,1082.96,-4.71
2026-07-03,HOOD,False,,open,09:30,up,1,0.01,0,0.01,0.1,1082.96,1083.06,0.01
2026-06-25,CRCL,False,,open,09:30,down,1,0,0.86,0.86,12.33,1000.0,1012.33,1.23
2026-06-26,CRCL,True,no_open_dir,,,,,,,0,0.0,1012.33,1012.33,0.0
2026-06-29,CRCL,False,,open,09:30,down,1,0,-1.7,-1.7,-23.17,1012.33,989.16,-2.29
2026-06-30,CRCL,False,,open,09:30,up,1,-1.03,0,-1.03,-13.94,989.16,975.22,-1.41
2026-07-01,CRCL,False,,open,09:30,up,2,-0.46,1.22,0.76,11.61,975.22,986.83,1.19
2026-07-02,CRCL,False,,open,09:30,up,1,-2.15,0,-2.15,-31.72,986.83,955.11,-3.21
2026-07-03,CRCL,False,,open,09:30,up,1,-0.44,0,-0.44,-6.23,955.11,948.88,-0.65
2026-06-25,COIN,False,,open,09:30,down,1,0,7.39,7.39,49.23,1000.0,1049.23,4.92
2026-06-26,COIN,False,,open,09:30,up,1,7.5,0,7.5,55.61,1049.23,1104.84,5.3
2026-06-29,COIN,False,,open,09:30,up,1,-1.27,0,-1.27,-9.34,1104.84,1095.5,-0.85
2026-06-30,COIN,False,,open,09:30,up,1,-0.42,0,-0.42,-3.16,1095.5,1092.34,-0.29
2026-07-01,COIN,False,,open,09:30,up,2,12.13,1.4,13.53,99.47,1092.34,1191.81,9.11
2026-07-02,COIN,False,,open,09:30,up,1,-6.49,0,-6.49,-45.36,1191.81,1146.45,-3.81
2026-07-03,COIN,False,,open,09:30,up,1,0.19,0,0.19,1.31,1146.45,1147.76,0.11
2026-06-25,MSTR,False,,open,09:30,down,1,0,7.66,7.66,82.35,1000.0,1082.35,8.23
2026-06-26,MSTR,False,,open,09:30,up,1,-0.98,0,-0.98,-12.76,1082.35,1069.59,-1.18
2026-06-29,MSTR,False,,open,09:30,down,1,0,-2.04,-2.04,-25.02,1069.59,1044.57,-2.34
2026-06-30,MSTR,False,,open,09:30,down,1,0,-1.81,-1.81,-22.19,1044.57,1022.38,-2.12
2026-07-01,MSTR,False,,open,09:30,up,1,3.97,0,3.97,45.38,1022.38,1067.76,4.44
2026-07-02,MSTR,False,,open,09:30,up,1,-3.21,0,-3.21,-33.8,1067.76,1033.96,-3.17
2026-07-03,MSTR,False,,open,09:30,down,1,0,-1.23,-1.23,-12.23,1033.96,1021.73,-1.18
